,hh_id,name,link,salary
443,46757167,"Software Engineer (PHP, Java)",https://chelyabinsk.hh.ru/vacancy/46757167?from=vacancy_search_list&query=data%20analyst,
444,46486889,Бизнес-аналитик (1C Бизнес-предприятие),https://chelyabinsk.hh.ru/vacancy/46486889?from=vacancy_search_list&query=data%20analyst,
445,46912851,Старший финансовый аналитик (планирование и контроллинг),https://chelyabinsk.hh.ru/vacancy/46912851?from=vacancy_search_list&query=data%20analyst,
446,42181647,"Разработчик DWH (SQL) (middle, senior)",https://chelyabinsk.hh.ru/vacancy/42181647?from=vacancy_search_list&query=data%20analyst,
447,46444768,Senior Product Manager: Acquisition,https://chelyabinsk.hh.ru/vacancy/46444768?from=vacancy_search_list&query=data%20analyst,
448,44567955,Ведущий системный аналитик (Развитие СБП),https://chelyabinsk.hh.ru/vacancy/44567955?from=vacancy_search_list&query=data%20analyst,
449,47186858,Младший project manager,https://chelyabinsk.hh.ru/vacancy/47186858?from=vacancy_search_list&query=data%20analyst,40 000 – 45 000 руб.
450,46225257,Product manager,https://chelyabinsk.hh.ru/vacancy/46225257?from=vacancy_search_list&query=data%20analyst,
451,46062783,Руководитель департамента анализа и планирования,https://chelyabinsk.hh.ru/vacancy/46062783?from=vacancy_search_list&query=data%20analyst,
452,46896075,Аналитик направления риск-менеджмента,https://chelyabinsk.hh.ru/vacancy/46896075?from=vacancy_search_list&query=data%20analyst,
453,46833911,"IT рекрутер/Ассистент (удаленно), Москва",https://chelyabinsk.hh.ru/vacancy/46833911?from=vacancy_search_list&query=data%20analyst,
454,46634343,Content Producer,https://chelyabinsk.hh.ru/vacancy/46634343?from=vacancy_search_list&query=data%20analyst,
455,45629317,Аналитик в коммерческий департамент,https://chelyabinsk.hh.ru/vacancy/45629317?from=vacancy_search_list&query=data%20analyst,
456,43958416,Product manager (Edtech),https://chelyabinsk.hh.ru/vacancy/43958416?from=vacancy_search_list&query=data%20analyst,
457,45325104,Системный аналитик MMSC,https://chelyabinsk.hh.ru/vacancy/45325104?from=vacancy_search_list&query=data%20analyst,от 200 000 руб.
458,45727438,Маркетинговый аналитик (User acquisition),https://chelyabinsk.hh.ru/vacancy/45727438?from=vacancy_search_list&query=data%20analyst,
459,40011739,Системный аналитик,https://chelyabinsk.hh.ru/vacancy/40011739?from=vacancy_search_list&query=data%20analyst,
460,43249268,Media strategic planner (новый бизнес),https://chelyabinsk.hh.ru/vacancy/43249268?from=vacancy_search_list&query=data%20analyst,
461,46408392,Эксперт отдела клиентской аналитики,https://chelyabinsk.hh.ru/vacancy/46408392?from=vacancy_search_list&query=data%20analyst,
462,46088747,CRM marketing specialist,https://chelyabinsk.hh.ru/vacancy/46088747?from=vacancy_search_list&query=data%20analyst,
463,47129328,"Product Manager, Agriculture",https://chelyabinsk.hh.ru/vacancy/47129328?from=vacancy_search_list&query=data%20analyst,
464,47026935,Functional Manager,https://chelyabinsk.hh.ru/vacancy/47026935?from=vacancy_search_list&query=data%20analyst,
465,45482174,Аналитик в продукт «Ассортимент»,https://chelyabinsk.hh.ru/vacancy/45482174?from=vacancy_search_list&query=data%20analyst,
466,47051353,Project Manager,https://chelyabinsk.hh.ru/vacancy/47051353?from=vacancy_search_list&query=data%20analyst,
467,43856741,Младший эксперт по планированию / junior media planner,https://chelyabinsk.hh.ru/vacancy/43856741?from=vacancy_search_list&query=data%20analyst,
468,47147320,ServiceNOW IT Coordinator,https://chelyabinsk.hh.ru/vacancy/47147320?from=vacancy_search_list&query=data%20analyst,
469,46351868,ETL-разработчик,https://chelyabinsk.hh.ru/vacancy/46351868?from=vacancy_search_list&query=data%20analyst,
